_geojson,flow,cost,type,fid,v/c
"{""type"":""Feature"",""properties"":{""flow"":6794.668131125984,""cost"":0,""type"":""pedestrian_path"",""fid"":49,""v/c"":2.2648893770419947},""geometry"":{""type"":""LineString"",""coordinates"":[[151.1981329,-33.8700697,0],[151.1982708,-33.8701361,0],[151.1983742,-33.870173,0],[151.1984674,-33.8702039,0],[151.1985606,-33.8702265,0],[151.1986579,-33.870246,0]]}}",6794.668131125984,0,pedestrian_path,49,2.2648893770419947
"{""type"":""Feature"",""properties"":{""flow"":35456.322640826635,""cost"":0,""type"":""pedestrian_path"",""fid"":50,""v/c"":11.818774213608878},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2022867,-33.870865,0],[151.2026423,-33.8709259,0],[151.2026423,-33.87092589999999,0],[151.20280194955882,-33.87093292168933,0],[151.20283461658101,-33.870934358421145,0],[151.20382105646112,-33.87097773904305,0]]}}",35456.322640826635,0,pedestrian_path,50,11.818774213608878
"{""type"":""Feature"",""properties"":{""flow"":6917.225540083063,""cost"":0,""type"":""pedestrian_path"",""fid"":51,""v/c"":2.3057418466943544},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2022986,-33.87081389999999,0],[151.2022879,-33.8708597,0],[151.2022867,-33.870865,0],[151.2022751,-33.870914599999985,0]]}}",6917.225540083063,0,pedestrian_path,51,2.3057418466943544
"{""type"":""Feature"",""properties"":{""flow"":876.2025890265058,""cost"":0,""type"":""pedestrian_path"",""fid"":52,""v/c"":0.2920675296755019},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20178766323878,-33.881134905853,0],[151.2018592,-33.8812814,0]]}}",876.2025890265058,0,pedestrian_path,52,0.2920675296755019
"{""type"":""Feature"",""properties"":{""flow"":9268.662166726332,""cost"":0,""type"":""pedestrian_path"",""fid"":53,""v/c"":3.089554055575444},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2007473,-33.8791599,0],[151.2007802,-33.87921989999999,0],[151.2008007,-33.879264,0],[151.2008279,-33.8793201,0],[151.2009126,-33.8795281,0],[151.2010178,-33.87975620000001,0],[151.2010998,-33.8797646,0]]}}",9268.662166726332,0,pedestrian_path,53,3.089554055575444
"{""type"":""Feature"",""properties"":{""flow"":7350.850022104257,""cost"":0,""type"":""pedestrian_path"",""fid"":54,""v/c"":2.450283340701419},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2010998,-33.8797646,0],[151.201144,-33.87984909999999,0],[151.2013434,-33.8802871,0],[151.2013357,-33.8803325,0],[151.2013863,-33.8804209,0]]}}",7350.850022104257,0,pedestrian_path,54,2.450283340701419
"{""type"":""Feature"",""properties"":{""flow"":3359.2031370273958,""cost"":0,""type"":""pedestrian_path"",""fid"":55,""v/c"":1.1197343790091319},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2013863,-33.8804209,0],[151.2014045,-33.880461,0],[151.2014595,-33.88046509999999,0],[151.2015753,-33.8806798,0],[151.2016042,-33.8806865,0],[151.2016753,-33.88083609999999,0],[151.2016471,-33.8808613,0],[151.2017031,-33.8809625,0],[151.20178766323878,-33.881134905853,0]]}}",3359.2031370273958,0,pedestrian_path,55,1.1197343790091319
"{""type"":""Feature"",""properties"":{""flow"":9092.052993424215,""cost"":0,""type"":""pedestrian_path"",""fid"":56,""v/c"":3.030684331141405},""geometry"":{""type"":""LineString"",""coordinates"":[[151.1996122,-33.8766563,0],[151.2008663,-33.876346199999986,0],[151.2010822,-33.87630020000001,0],[151.2012421,-33.8762615,0]]}}",9092.052993424215,0,pedestrian_path,56,3.030684331141405
"{""type"":""Feature"",""properties"":{""flow"":29322.816093860558,""cost"":0,""type"":""pedestrian_path"",""fid"":57,""v/c"":9.774272031286852},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2002339,-33.8735111,0],[151.2002958,-33.8736274,0],[151.2003642,-33.873756,0],[151.2006048,-33.874435,0],[151.2006347,-33.8745464,0],[151.2007894,-33.8750122,0],[151.2010176,-33.87557019999998,0]]}}",29322.816093860558,0,pedestrian_path,57,9.774272031286852
"{""type"":""Feature"",""properties"":{""flow"":0,""cost"":0,""type"":""pedestrian_path"",""fid"":58,""v/c"":0},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2038880071728,-33.87599464083305,0],[151.2039105,-33.8759289,0],[151.2037491,-33.8751978,0],[151.2036027,-33.8746108,0],[151.2034813,-33.8741614,0],[151.2034879,-33.8741399,0],[151.2035118,-33.874126,0],[151.2036986,-33.8741428,0],[151.20370733051,-33.87409752551176,0]]}}",0,0,pedestrian_path,58,0
"{""type"":""Feature"",""properties"":{""flow"":0,""cost"":0,""type"":""pedestrian_path"",""fid"":59,""v/c"":0},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2024817,-33.8786062,0],[151.2021598,-33.8785539,0],[151.2020513,-33.87856879999999,0]]}}",0,0,pedestrian_path,59,0
"{""type"":""Feature"",""properties"":{""flow"":0,""cost"":0,""type"":""pedestrian_path"",""fid"":60,""v/c"":0},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2024817,-33.8786062,0],[151.20327170000002,-33.8787338,0],[151.2032883,-33.8787365,0],[151.20330947049243,-33.87875044085575,0]]}}",0,0,pedestrian_path,60,0
"{""type"":""Feature"",""properties"":{""flow"":117658.10666539127,""cost"":0,""type"":""pedestrian_path"",""fid"":61,""v/c"":39.219368888463755},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20343020512234,-33.87931992270347,0],[151.203356,-33.87930869999999,0],[151.2029486,-33.879247100000015,0],[151.2025143,-33.8791815,0],[151.202257,-33.8791426,0]]}}",117658.10666539127,0,pedestrian_path,61,39.219368888463755
